satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,left,promotion_last_5years,salary,5year_experience,senior_employee,very_low_sat,very_high_sat,low_project_load,high_project_load,extreme_project_load,overworked,underworked,hours_per_project,sales_IT,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical
-1.0356680074578661,-1.108990461104534,-1.549921177620838,-0.8922077932571922,0.0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,1.1250713201203064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.706637182701122,0.8513798407053623,1.0291941208597988,1.2627089099650652,3.0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,-0.2253237368430977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-2.155721343988644,0.9701901620271743,2.74860431984689,1.467939072176709,1.0,0,1,0,1.0,0,0,1,0,0,1,1,0,0,-0.9260213361869988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.37476952743274294,0.9107850013662684,1.0291941208597988,0.4623112773396554,2.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,-0.6288900757057241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.0771514643664135,-1.16839562176544,-1.549921177620838,-0.8511617608148635,0.0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,1.1768105943334637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.9112176367322243,-1.2872059430872522,-1.549921177620838,-0.9742998581418497,0.0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,1.021592771693992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-2.1972048008971914,0.3167333947572089,1.8888992203533446,0.9548636666475999,1.0,0,1,0,0.0,0,0,1,0,0,1,0,0,0,-0.8065282505042308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.2044386656036898,0.7919746800444564,1.0291941208597988,1.2011398613015722,2.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,-0.2563673013709921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0799882948780477,1.683052089958046,1.0291941208597988,0.4828342935608197,2.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,-0.6185422208630929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.869734179823677,-1.108990461104534,-1.549921177620838,-1.2000530365746576,0.0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0.7370267635216271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
